Name,Program Link,Requirement Link,Deadline,GRE
Stanford University,https://statistics.stanford.edu/admissions/statistics-phd-admissions/phd-admissions-requirements-and-procedures,https://statistics.stanford.edu/admissions/statistics-phd-admissions/phd-admissions-requirements-and-procedures,"APPLICATION DEADLINE - Thursday, December 1, 2022 (11:59PM PST) ","Effective March 2021, the GRE Math Subject Test is no longer required. Applicants to our program are only required to take the GRE General Test."
University of California--Berkeley,https://grad.berkeley.edu/admissions/choosing-your-program/list/,https://statistics.berkeley.edu/academics/phd/requirements,"December 1, 2022 (PhD)","GRE: Optional (Subject Test) for PhD, not required for MA"
Harvard University,https://statistics.fas.harvard.edu/phd-admissions-faq,https://statistics.fas.harvard.edu/phd-admissions-faq,"he complete online application, fee, and supporting materials (including official GRE scores) are due by December 1, 2022, 5:00 pm EST, for September 2023 enrollment. We cannot make exceptions for late applications. Applications that are not complete when the faculty begin reviewing them will not receive full consideration.","he complete online application, fee, and supporting materials (including official GRE scores) are due by December 1, 2022, 5:00 pm EST, for September 2023 enrollment. We cannot make exceptions for late applications. Applications that are not complete when the faculty begin reviewing them will not receive full consideration."
University of Chicago,https://stat.uchicago.edu/admissions/,https://stat.uchicago.edu/admissions/admissions-faqs/,The application deadline is January 3rd,"Applicants to the PhD program are expected to have strong undergraduate records and high scores on the Graduate Record Examinations (GRE), both the General Test and the Mathematics Subject Test."
Carnegie Mellon University,https://www.cmu.edu/dietrich/statistics-datascience/academics/msp/how-to-apply.html,https://www.cmu.edu/dietrich/statistics-datascience/academics/phd/how-to-apply.html,"Frequently Asked Questions
Who should apply?
What are the prerequisites for the program?
What are the costs for the program?
Which courses are part of the core curriculum and which vary from year to year?
Can I take classes outside of the Department of Statistics & Data Science?
Do you offer financial aid?
How much is the application fee?
What if I have questions about the application fees or the application payment method?
What is the minimum acceptable TOEFL score?
What if I am a non-native English speaker and I attended a University in the United States, Canada, Great Britain, or Australia?
How long are TOEFL scores valid?
What is the department code for TOEFL scores?
Is a GRE score required?
How many letters of recommendation do I need to submit?
Will you review my application if it is incomplete?
What if information is received after the deadline?
The application deadline is Sunday, January 15th, 2023 at 11:59 pm ET. We will not accept submissions after this deadline. We also do not accept paper submissions or paper supplemental materials.","While we require a GRE score with your application submission, we are interested in the student's entire application package, including coursework, statement of purpose, and recommendations. Our institution and department codes are as follows:

Institution Code: 2074
Department Code: 0705"
Columbia University,https://stat.columbia.edu/programs/ph-d-program/,https://stat.columbia.edu/programs/ph-d-program/,"Our application deadline is January 5, 2023.",No. The general GRE exam is waived for the 2022 - 2023 application cycle. 
Duke University,https://stat.duke.edu/phd/prospective-students/how-to-apply,https://stat.duke.edu/phd/prospective-students/how-to-apply,"Ph.D. applications are due January 4 for enrollment in the following fall semester. (NOTE: Although your application must be completed by the deadline, it is acceptable for final scores from standardized test, and some reference letters, to come in a little later.)","All applicants must satisfy all basic requirements of the Duke Graduate School, including GRE and English language prereqs."
University of Michigan--Ann Arbor,https://lsa.umich.edu/stats/phd-students/ProspectiveGraduateStudents/graduate-degree-application.html,https://lsa.umich.edu/stats/phd-students/ProspectiveGraduateStudents/graduate-degree-application.html,Applications for Fall admission to the PhD program in Statistics are due December 15,"The University of Michigan’s Rackham Graduate School will discontinue the use of the Graduate Record Examination general test in Rackham Ph.D. admissions decisions, beginning with the 2022-2023 admissions cycle.

The Graduate Record Examination (GRE) is no longer required to apply for admission. Students who have taken the GRE may include the test result as additional information in their application if they wish. The GRE scores that we do receive play a minor and supporting role in a holistic evaluation of the application. If you wish to submit your GRE score, include a copy of your GRE score report from ETS with your optional application materials.  
Dates and places to take the examination may be obtained from the Educational Testing Service by creating a GRE account.  The University of Michigan code for the GRE is 1839.  The GRE scores are automatically added to applicant records as long as name and birth date can be matched.  Applicants must request that their scores be sent to the University of Michigan using the code above, on the GRE website."
University of Pennsylvania,https://doctoral.wharton.upenn.edu/application-requirements/,https://doctoral.wharton.upenn.edu/application-requirements/,"The deadline to apply each year is December 15th, 11:59 p.m.",Statistics: GRE only.
University of Washington,https://www.biostat.washington.edu/apply/dates,https://stat.uw.edu/academics/graduate/applying,"December 1, 11:59 p.m. U.S. Pacific Standard Time",Strong applicants will have solid quantitative skills as evidenced by their coursework and GRE quantitative score.
